name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Austin Warren,2,Slider,39.3,113,173,65.3,34.7
Austin Warren,2,Sinker,27.7,113,173,65.3,34.7
Austin Warren,2,4-Seam Fastball,20.2,113,173,65.3,34.7
Austin Warren,2,Cutter,12.7,113,173,65.3,34.7
Blake Snell,2,4-Seam Fastball,46.4,1110,1774,62.6,37.4
Blake Snell,2,Curveball,26.1,1110,1774,62.6,37.4
Blake Snell,2,Changeup,17.5,1110,1774,62.6,37.4
Blake Snell,2,Slider,10,1110,1774,62.6,37.4
Camilo Doval,2,Slider,51.1,681,1121,60.7,39.3
Camilo Doval,2,Cutter,34.8,681,1121,60.7,39.3
Camilo Doval,2,Sinker,14.2,681,1121,60.7,39.3
Erik Miller,2,4-Seam Fastball,49.7,754,1271,59.3,40.7
Erik Miller,2,Changeup,33.9,754,1271,59.3,40.7
Erik Miller,2,Slider,16.4,754,1271,59.3,40.7
Hayden Birdsong,1,4-Seam Fastball,44.6,820,1388,59.1,40.9
Hayden Birdsong,1,Curveball,18.7,820,1388,59.1,40.9
Hayden Birdsong,1,Changeup,18.4,820,1388,59.1,40.9
Hayden Birdsong,1,Slider,18.4,820,1388,59.1,40.9
Jordan Hicks,2,Sinker,51.5,1193,1960,60.9,39.1
Jordan Hicks,2,Split-Finger,19.1,1193,1960,60.9,39.1
Jordan Hicks,2,Sweeper,24.1,1193,1960,60.9,39.1
Jordan Hicks,2,4-Seam Fastball,5.4,1193,1960,60.9,39.1
Kai-Wei Teng,2,Sinker,44.1,116,204,56.9,43.1
Kai-Wei Teng,2,Sweeper,17.2,116,204,56.9,43.1
Kai-Wei Teng,2,Curveball,18.6,116,204,56.9,43.1
Kai-Wei Teng,2,Slider,10.8,116,204,56.9,43.1
Kai-Wei Teng,2,4-Seam Fastball,5.9,116,204,56.9,43.1
Keaton Winn,1,Split-Finger,39.1,586,877,66.8,33.2
Keaton Winn,1,4-Seam Fastball,25.4,586,877,66.8,33.2
Keaton Winn,1,Sinker,18.6,586,877,66.8,33.2
Keaton Winn,1,Slider,13.5,586,877,66.8,33.2
Kyle Harrison,2,4-Seam Fastball,57.7,1330,2078,64,36
Kyle Harrison,2,Changeup,19.7,1330,2078,64,36
Kyle Harrison,2,Slurve,22.3,1330,2078,64,36
Kyle Harrison,2,Slider,0.3,1330,2078,64,36
Landen Roupp,1,Curveball,44.1,564,907,62.2,37.8
Landen Roupp,1,Sinker,40.5,564,907,62.2,37.8
Landen Roupp,1,Changeup,9.4,564,907,62.2,37.8
Landen Roupp,1,Slider,4.2,564,907,62.2,37.8
Logan Webb,1,Changeup,30.9,2117,3202,66.1,33.9
Logan Webb,1,Sinker,39.9,2117,3202,66.1,33.9
Logan Webb,1,Sweeper,21.2,2117,3202,66.1,33.9
Logan Webb,1,4-Seam Fastball,5.3,2117,3202,66.1,33.9
Logan Webb,1,Cutter,2.6,2117,3202,66.1,33.9
Mason Black,1,4-Seam Fastball,32.1,438,663,66.1,33.9
Mason Black,1,Sinker,28.5,438,663,66.1,33.9
Mason Black,1,Sweeper,25.3,438,663,66.1,33.9
Mason Black,1,Slider,11.8,438,663,66.1,33.9
Mason Black,1,Changeup,2.3,438,663,66.1,33.9
Nick Avila,2,4-Seam Fastball,34.7,144,225,64,36
Nick Avila,2,Cutter,31.1,144,225,64,36
Nick Avila,2,Sinker,12.9,144,225,64,36
Nick Avila,2,Curveball,17.3,144,225,64,36
Nick Avila,2,Slider,4,144,225,64,36
