name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Alex Cobb,2,Split-Finger,43.8,91,151,242,62.4,37.6
Alex Cobb,2,Sinker,43.0,91,151,242,62.4,37.6
Alex Cobb,2,Curveball,13.2,91,151,242,62.4,37.6
Andrew Walters,2,4-Seam Fastball,62.9,49,84,133,63.2,36.8
Andrew Walters,2,Slider,37.1,49,84,133,63.2,36.8
Anthony Gose,2,Slider,44.3,26,53,79,67.1,32.9
Anthony Gose,2,4-Seam Fastball,55.7,26,53,79,67.1,32.9
Ben Lively,1,Sinker,29.0,835,1574,2409,65.3,34.7
Ben Lively,1,4-Seam Fastball,31.4,835,1574,2409,65.3,34.7
Ben Lively,1,Sweeper,16.9,835,1574,2409,65.3,34.7
Ben Lively,1,Changeup,9.1,835,1574,2409,65.3,34.7
Ben Lively,1,Curveball,8.8,835,1574,2409,65.3,34.7
Ben Lively,1,Slider,4.9,835,1574,2409,65.3,34.7
Cade Smith,2,4-Seam Fastball,69.1,365,801,1166,68.7,31.3
Cade Smith,2,Split-Finger,20.7,365,801,1166,68.7,31.3
Cade Smith,2,Sweeper,10.2,365,801,1166,68.7,31.3
Carlos Carrasco,2,Changeup,23.3,596,1097,1693,64.8,35.2
Carlos Carrasco,2,Slider,24.3,596,1097,1693,64.8,35.2
Carlos Carrasco,2,4-Seam Fastball,25.8,596,1097,1693,64.8,35.2
Carlos Carrasco,2,Sinker,16.5,596,1097,1693,64.8,35.2
Carlos Carrasco,2,Curveball,6.9,596,1097,1693,64.8,35.2
Carlos Carrasco,2,Sweeper,3.2,596,1097,1693,64.8,35.2
Connor Gillispie,2,4-Seam Fastball,42.0,55,83,138,60.1,39.9
Connor Gillispie,2,Changeup,22.5,55,83,138,60.1,39.9
Connor Gillispie,2,Cutter,21.7,55,83,138,60.1,39.9
Connor Gillispie,2,Slider,13.8,55,83,138,60.1,39.9
Eli Morgan,2,4-Seam Fastball,40.2,204,443,647,68.5,31.5
Eli Morgan,2,Slider,36.1,204,443,647,68.5,31.5
Eli Morgan,2,Changeup,23.7,204,443,647,68.5,31.5
Emmanuel Clase,2,Cutter,77.8,282,702,984,71.3,28.7
Emmanuel Clase,2,Slider,20.5,282,702,984,71.3,28.7
Emmanuel Clase,2,4-Seam Fastball,1.2,282,702,984,71.3,28.7
Erik Sabrowski,2,4-Seam Fastball,57.6,68,130,198,65.7,34.3
Erik Sabrowski,2,Curveball,25.8,68,130,198,65.7,34.3
Erik Sabrowski,2,Slider,16.7,68,130,198,65.7,34.3
Gavin Williams,1,4-Seam Fastball,51.5,488,880,1368,64.3,35.7
Gavin Williams,1,Curveball,19.8,488,880,1368,64.3,35.7
Gavin Williams,1,Cutter,12.0,488,880,1368,64.3,35.7
Gavin Williams,1,Slider,11.3,488,880,1368,64.3,35.7
Gavin Williams,1,Changeup,5.4,488,880,1368,64.3,35.7
Hunter Gaddis,2,Slider,44.8,340,735,1075,68.4,31.6
Hunter Gaddis,2,4-Seam Fastball,38.3,340,735,1075,68.4,31.6
Hunter Gaddis,2,Changeup,16.8,340,735,1075,68.4,31.6
Joey Cantillo,2,4-Seam Fastball,48.8,276,435,711,61.2,38.8
Joey Cantillo,2,Changeup,27.6,276,435,711,61.2,38.8
Joey Cantillo,2,Curveball,15.2,276,435,711,61.2,38.8
Joey Cantillo,2,Slider,8.4,276,435,711,61.2,38.8
Logan Allen,2,4-Seam Fastball,48.4,624,1041,1665,62.5,37.5
Logan Allen,2,Changeup,18.3,624,1041,1665,62.5,37.5
Logan Allen,2,Sweeper,18.7,624,1041,1665,62.5,37.5
Logan Allen,2,Cutter,14.6,624,1041,1665,62.5,37.5
Matthew Boyd,2,4-Seam Fastball,38.3,235,434,669,64.9,35.1
Matthew Boyd,2,Changeup,26.2,235,434,669,64.9,35.1
Matthew Boyd,2,Slider,17.3,235,434,669,64.9,35.1
Matthew Boyd,2,Sinker,10.2,235,434,669,64.9,35.1
Matthew Boyd,2,Curveball,8.1,235,434,669,64.9,35.1
Nick Sandlin,2,Slider,34.8,390,614,1004,61.2,38.8
Nick Sandlin,2,4-Seam Fastball,29.5,390,614,1004,61.2,38.8
Nick Sandlin,2,Split-Finger,26.5,390,614,1004,61.2,38.8
Nick Sandlin,2,Sinker,9.2,390,614,1004,61.2,38.8
Pedro Avila,2,4-Seam Fastball,39.2,484,813,1297,62.7,37.3
Pedro Avila,2,Changeup,22.0,484,813,1297,62.7,37.3
Pedro Avila,2,Curveball,16.1,484,813,1297,62.7,37.3
Pedro Avila,2,Sinker,12.3,484,813,1297,62.7,37.3
Pedro Avila,2,Slider,6.8,484,813,1297,62.7,37.3
Pedro Avila,2,Sweeper,3.7,484,813,1297,62.7,37.3
Peter Strzelecki,2,4-Seam Fastball,42.2,75,117,192,60.9,39.1
Peter Strzelecki,2,Changeup,19.8,75,117,192,60.9,39.1
Peter Strzelecki,2,Slider,17.7,75,117,192,60.9,39.1
Peter Strzelecki,2,Sinker,7.3,75,117,192,60.9,39.1
Peter Strzelecki,2,Cutter,13.0,75,117,192,60.9,39.1
Sam Hentges,2,Curveball,31.9,112,239,351,68.1,31.9
Sam Hentges,2,4-Seam Fastball,30.8,112,239,351,68.1,31.9
Sam Hentges,2,Slider,21.4,112,239,351,68.1,31.9
Sam Hentges,2,Sinker,16.0,112,239,351,68.1,31.9
Scott Barlow,2,Slider,45.1,420,603,1023,58.9,41.1
Scott Barlow,2,Curveball,21.0,420,603,1023,58.9,41.1
Scott Barlow,2,4-Seam Fastball,20.5,420,603,1023,58.9,41.1
Scott Barlow,2,Sinker,13.4,420,603,1023,58.9,41.1
Shane Bieber,2,Slider,24.7,56,110,166,66.3,33.7
Shane Bieber,2,4-Seam Fastball,41.6,56,110,166,66.3,33.7
Shane Bieber,2,Changeup,13.3,56,110,166,66.3,33.7
Shane Bieber,2,Curveball,10.8,56,110,166,66.3,33.7
Shane Bieber,2,Cutter,9.6,56,110,166,66.3,33.7
Spencer Howard,2,4-Seam Fastball,51.0,41,80,121,66.1,33.9
Spencer Howard,2,Slider,25.1,41,80,121,66.1,33.9
Spencer Howard,2,Changeup,16.9,41,80,121,66.1,33.9
Spencer Howard,2,Curveball,6.9,41,80,121,66.1,33.9
Tanner Bibee,1,4-Seam Fastball,43.4,963,1890,2853,66.2,33.8
Tanner Bibee,1,Cutter,24.5,963,1890,2853,66.2,33.8
Tanner Bibee,1,Changeup,18.0,963,1890,2853,66.2,33.8
Tanner Bibee,1,Slider,6.9,963,1890,2853,66.2,33.8
Tanner Bibee,1,Curveball,6.9,963,1890,2853,66.2,33.8
Tanner Bibee,1,Sinker,0.3,963,1890,2853,66.2,33.8
Tim Herrin,2,Curveball,35.3,345,666,1011,65.9,34.1
Tim Herrin,2,4-Seam Fastball,24.5,345,666,1011,65.9,34.1
Tim Herrin,2,Slider,27.6,345,666,1011,65.9,34.1
Tim Herrin,2,Sinker,12.6,345,666,1011,65.9,34.1
Triston McKenzie,2,4-Seam Fastball,52.4,534,774,1308,59.2,40.8
Triston McKenzie,2,Curveball,26.6,534,774,1308,59.2,40.8
Triston McKenzie,2,Slider,21.0,534,774,1308,59.2,40.8
Tyler Beede,2,Split-Finger,39.6,103,167,270,61.9,38.1
Tyler Beede,2,4-Seam Fastball,29.4,103,167,270,61.9,38.1
Tyler Beede,2,Curveball,23.4,103,167,270,61.9,38.1
Tyler Beede,2,Sinker,7.5,103,167,270,61.9,38.1
Wes Parsons,2,4-Seam Fastball,37.2,18,42,60,70.0,30.0
Wes Parsons,2,Slider,20.3,18,42,60,70.0,30.0
Wes Parsons,2,Curveball,21.6,18,42,60,70.0,30.0
Wes Parsons,2,Sinker,15.5,18,42,60,70.0,30.0
Wes Parsons,2,Changeup,5.4,18,42,60,70.0,30.0
