name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Adam Oller,2,4-Seam Fastball,51.4,284,427,711,60.1,39.9
Adam Oller,2,Slurve,25.8,284,427,711,60.1,39.9
Adam Oller,2,Curveball,14.9,284,427,711,60.1,39.9
Adam Oller,2,Changeup,7.0,284,427,711,60.1,39.9
Adam Oller,2,Slider,0.8,284,427,711,60.1,39.9
Andrew Nardi,2,4-Seam Fastball,60.8,316,590,906,65.1,34.9
Andrew Nardi,2,Slider,38.4,316,590,906,65.1,34.9
Andrew Nardi,2,Changeup,0.8,316,590,906,65.1,34.9
Anthony Bender,2,Sinker,45.2,339,616,955,64.5,35.5
Anthony Bender,2,Sweeper,46.9,339,616,955,64.5,35.5
Anthony Bender,2,Changeup,3.9,339,616,955,64.5,35.5
Anthony Bender,2,4-Seam Fastball,4.1,339,616,955,64.5,35.5
Anthony Maldonado,2,Slider,62.0,109,188,297,63.3,36.7
Anthony Maldonado,2,Sinker,34.3,109,188,297,63.3,36.7
Anthony Veneziano,2,4-Seam Fastball,47.1,64,133,197,67.5,32.5
Anthony Veneziano,2,Sweeper,23.1,64,133,197,67.5,32.5
Anthony Veneziano,2,Slider,23.6,64,133,197,67.5,32.5
Anthony Veneziano,2,Changeup,6.2,64,133,197,67.5,32.5
Austin Kitchen,2,Sinker,34.2,56,102,158,64.6,35.4
Austin Kitchen,2,Changeup,17.7,56,102,158,64.6,35.4
Austin Kitchen,2,Sweeper,22.8,56,102,158,64.6,35.4
Austin Kitchen,2,4-Seam Fastball,13.9,56,102,158,64.6,35.4
Austin Kitchen,2,Curveball,11.4,56,102,158,64.6,35.4
Braxton Garrett,1,Sinker,33.3,198,391,589,66.4,33.6
Braxton Garrett,1,Slider,26.5,198,391,589,66.4,33.6
Braxton Garrett,1,Changeup,12.4,198,391,589,66.4,33.6
Braxton Garrett,1,4-Seam Fastball,14.1,198,391,589,66.4,33.6
Braxton Garrett,1,Cutter,9.2,198,391,589,66.4,33.6
Braxton Garrett,1,Curveball,4.4,198,391,589,66.4,33.6
Calvin Faucher,2,Cutter,38.1,398,591,989,59.8,40.2
Calvin Faucher,2,Sinker,33.2,398,591,989,59.8,40.2
Calvin Faucher,2,Curveball,21.8,398,591,989,59.8,40.2
Calvin Faucher,2,Sweeper,6.9,398,591,989,59.8,40.2
Darren McCaughan,2,Sweeper,38.0,204,388,592,65.5,34.5
Darren McCaughan,2,Sinker,31.5,204,388,592,65.5,34.5
Darren McCaughan,2,4-Seam Fastball,19.5,204,388,592,65.5,34.5
Darren McCaughan,2,Changeup,11.1,204,388,592,65.5,34.5
David Hensley,2,Curveball,3.8,12,14,26,53.8,46.2
Declan Cronin,2,Slider,51.6,392,705,1097,64.3,35.7
Declan Cronin,2,Sinker,40.6,392,705,1097,64.3,35.7
Declan Cronin,2,4-Seam Fastball,7.2,392,705,1097,64.3,35.7
Edward Cabrera,1,Changeup,33.2,670,1064,1734,61.4,38.6
Edward Cabrera,1,4-Seam Fastball,27.4,670,1064,1734,61.4,38.6
Edward Cabrera,1,Curveball,21.7,670,1064,1734,61.4,38.6
Edward Cabrera,1,Sinker,9.2,670,1064,1734,61.4,38.6
Edward Cabrera,1,Slider,8.5,670,1064,1734,61.4,38.6
Eli Villalobos,2,4-Seam Fastball,53.5,32,39,71,54.9,45.1
Eli Villalobos,2,Slider,31.0,32,39,71,54.9,45.1
Eli Villalobos,2,Split-Finger,15.5,32,39,71,54.9,45.1
Emmanuel Ramirez,2,4-Seam Fastball,53.4,145,226,371,60.9,39.1
Emmanuel Ramirez,2,Split-Finger,36.9,145,226,371,60.9,39.1
Emmanuel Ramirez,2,Slider,9.7,145,226,371,60.9,39.1
George Soriano,2,Slider,39.5,191,329,520,63.3,36.7
George Soriano,2,4-Seam Fastball,43.0,191,329,520,63.3,36.7
George Soriano,2,Changeup,17.5,191,329,520,63.3,36.7
Jesús Luzardo,1,4-Seam Fastball,39.4,390,694,1084,64.0,36.0
Jesús Luzardo,1,Slider,29.2,390,694,1084,64.0,36.0
Jesús Luzardo,1,Changeup,22.9,390,694,1084,64.0,36.0
Jesús Luzardo,1,Sinker,8.3,390,694,1084,64.0,36.0
Jesus Tinoco,2,Slider,52.3,118,265,383,69.2,30.8
Jesus Tinoco,2,Sinker,31.1,118,265,383,69.2,30.8
Jesus Tinoco,2,4-Seam Fastball,12.7,118,265,383,69.2,30.8
Jesus Tinoco,2,Changeup,3.7,118,265,383,69.2,30.8
Jesus Tinoco,2,Cutter,0.2,118,265,383,69.2,30.8
John McMillon,2,Slider,60.6,65,115,180,63.9,36.1
John McMillon,2,4-Seam Fastball,38.9,65,115,180,63.9,36.1
Jonathan Bermúdez,2,4-Seam Fastball,49.6,51,71,122,58.2,41.8
Jonathan Bermúdez,2,Sweeper,28.9,51,71,122,58.2,41.8
Jonathan Bermúdez,2,Slider,9.9,51,71,122,58.2,41.8
Jonathan Bermúdez,2,Changeup,11.6,51,71,122,58.2,41.8
Kent Emanuel,2,Sinker,58.3,112,190,302,62.9,37.1
Kent Emanuel,2,Sweeper,28.5,112,190,302,62.9,37.1
Kent Emanuel,2,Changeup,12.9,112,190,302,62.9,37.1
Kyle Tyler,2,Cutter,44.8,236,345,581,59.4,40.6
Kyle Tyler,2,Curveball,28.4,236,345,581,59.4,40.6
Kyle Tyler,2,4-Seam Fastball,14.5,236,345,581,59.4,40.6
Kyle Tyler,2,Slider,11.2,236,345,581,59.4,40.6
Lake Bachar,2,4-Seam Fastball,47.8,65,96,161,59.6,40.4
Lake Bachar,2,Slider,31.1,65,96,161,59.6,40.4
Lake Bachar,2,Changeup,21.1,65,96,161,59.6,40.4
Matt Andriese,2,4-Seam Fastball,40.9,24,65,89,73.0,27.0
Matt Andriese,2,Cutter,27.3,24,65,89,73.0,27.0
Matt Andriese,2,Curveball,14.8,24,65,89,73.0,27.0
Matt Andriese,2,Sinker,15.9,24,65,89,73.0,27.0
Max Meyer,1,Slider,40.7,371,597,968,61.7,38.3
Max Meyer,1,4-Seam Fastball,39.4,371,597,968,61.7,38.3
Max Meyer,1,Changeup,17.9,371,597,968,61.7,38.3
Max Meyer,1,Sinker,2.1,371,597,968,61.7,38.3
Michael Petersen,2,4-Seam Fastball,65.6,34,60,94,63.8,36.2
Michael Petersen,2,Cutter,31.1,34,60,94,63.8,36.2
Michael Petersen,2,Changeup,2.8,34,60,94,63.8,36.2
Michael Petersen,2,Slider,0.6,34,60,94,63.8,36.2
Mike Baumann,2,Curveball,33.5,104,178,282,63.1,36.9
Mike Baumann,2,4-Seam Fastball,40.5,104,178,282,63.1,36.9
Mike Baumann,2,Slider,23.8,104,178,282,63.1,36.9
Mike Baumann,2,Changeup,1.9,104,178,282,63.1,36.9
Mike Baumann,2,Sinker,0.3,104,178,282,63.1,36.9
Roddery Muñoz,2,4-Seam Fastball,26.9,582,904,1486,60.8,39.2
Roddery Muñoz,2,Sinker,22.8,582,904,1486,60.8,39.2
Roddery Muñoz,2,Cutter,21.2,582,904,1486,60.8,39.2
Roddery Muñoz,2,Slider,19.8,582,904,1486,60.8,39.2
Roddery Muñoz,2,Changeup,9.3,582,904,1486,60.8,39.2
