name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Adam Ottavino,2,Sinker,33.9,352,654,1006,65.0,35.0
Adam Ottavino,2,Sweeper,38.3,352,654,1006,65.0,35.0
Adam Ottavino,2,4-Seam Fastball,9.9,352,654,1006,65.0,35.0
Adam Ottavino,2,Cutter,10.7,352,654,1006,65.0,35.0
Adam Ottavino,2,Changeup,5.0,352,654,1006,65.0,35.0
Adam Ottavino,2,Slider,2.3,352,654,1006,65.0,35.0
Adrian Houser,2,Sinker,44.5,420,711,1131,62.9,37.1
Adrian Houser,2,Slider,17.3,420,711,1131,62.9,37.1
Adrian Houser,2,4-Seam Fastball,16.8,420,711,1131,62.9,37.1
Adrian Houser,2,Changeup,12.7,420,711,1131,62.9,37.1
Adrian Houser,2,Curveball,8.7,420,711,1131,62.9,37.1
Alex Young,2,Changeup,46.4,95,141,236,59.7,40.3
Alex Young,2,Sinker,38.2,95,141,236,59.7,40.3
Alex Young,2,Curveball,14.2,95,141,236,59.7,40.3
Alex Young,2,Slider,0.4,95,141,236,59.7,40.3
Alex Young,2,4-Seam Fastball,0.7,95,141,236,59.7,40.3
Brooks Raley,2,Sweeper,47.9,42,77,119,64.7,35.3
Brooks Raley,2,Changeup,18.5,42,77,119,64.7,35.3
Brooks Raley,2,Cutter,24.4,42,77,119,64.7,35.3
Christian Scott,2,4-Seam Fastball,52.9,279,509,788,64.6,35.4
Christian Scott,2,Slider,17.9,279,509,788,64.6,35.4
Christian Scott,2,Sweeper,18.8,279,509,788,64.6,35.4
Christian Scott,2,Split-Finger,10.4,279,509,788,64.6,35.4
Danny Young,2,Sinker,47.2,278,419,697,60.1,39.9
Danny Young,2,Sweeper,52.2,278,419,697,60.1,39.9
Danny Young,2,Cutter,0.6,278,419,697,60.1,39.9
David Peterson,1,Sinker,31.0,667,1208,1875,64.4,35.6
David Peterson,1,4-Seam Fastball,26.5,667,1208,1875,64.4,35.6
David Peterson,1,Slider,18.4,667,1208,1875,64.4,35.6
David Peterson,1,Changeup,16.4,667,1208,1875,64.4,35.6
David Peterson,1,Curveball,7.6,667,1208,1875,64.4,35.6
Dedniel Núñez,2,Slider,48.9,142,380,522,72.8,27.2
Dedniel Núñez,2,4-Seam Fastball,47.6,142,380,522,72.8,27.2
Dedniel Núñez,2,Sinker,2.5,142,380,522,72.8,27.2
Dedniel Núñez,2,Curveball,0.2,142,380,522,72.8,27.2
Dedniel Núñez,2,Changeup,0.8,142,380,522,72.8,27.2
Drew Smith,2,4-Seam Fastball,43.6,113,215,328,65.5,34.5
Drew Smith,2,Cutter,26.8,113,215,328,65.5,34.5
Drew Smith,2,Slider,14.0,113,215,328,65.5,34.5
Drew Smith,2,Changeup,5.2,113,215,328,65.5,34.5
Drew Smith,2,Curveball,7.6,113,215,328,65.5,34.5
Drew Smith,2,Sinker,2.7,113,215,328,65.5,34.5
Eddy Alvarez,2,Slider,61.5,5,8,13,61.5,38.5
Eddy Alvarez,2,Changeup,15.4,5,8,13,61.5,38.5
Eddy Alvarez,2,Curveball,23.1,5,8,13,61.5,38.5
Edwin Díaz,2,Slider,47.9,333,581,914,63.6,36.4
Edwin Díaz,2,4-Seam Fastball,52.1,333,581,914,63.6,36.4
Eric Orze,2,4-Seam Fastball,42.9,18,24,42,57.1,42.9
Eric Orze,2,Changeup,47.6,18,24,42,57.1,42.9
Grant Hartwig,2,Sinker,34.7,56,62,118,52.5,47.5
Grant Hartwig,2,Sweeper,33.1,56,62,118,52.5,47.5
Grant Hartwig,2,Cutter,21.2,56,62,118,52.5,47.5
Grant Hartwig,2,Changeup,6.8,56,62,118,52.5,47.5
Grant Hartwig,2,4-Seam Fastball,4.2,56,62,118,52.5,47.5
Huascar Brazobán,2,Changeup,28.7,161,242,403,60.0,40.0
Huascar Brazobán,2,Cutter,24.9,161,242,403,60.0,40.0
Huascar Brazobán,2,4-Seam Fastball,21.8,161,242,403,60.0,40.0
Huascar Brazobán,2,Sinker,24.6,161,242,403,60.0,40.0
Jake Diekman,2,4-Seam Fastball,61.2,249,378,627,60.3,39.7
Jake Diekman,2,Sweeper,28.9,249,378,627,60.3,39.7
Jake Diekman,2,Changeup,9.7,249,378,627,60.3,39.7
Jake Diekman,2,Sinker,0.2,249,378,627,60.3,39.7
Joey Lucchesi,2,Sinker,45.3,78,102,180,56.7,43.3
Joey Lucchesi,2,Cutter,26.8,78,102,180,56.7,43.3
Joey Lucchesi,2,Curveball,27.4,78,102,180,56.7,43.3
José Buttó,2,Changeup,22.1,514,709,1223,58.0,42.0
José Buttó,2,4-Seam Fastball,31.5,514,709,1223,58.0,42.0
José Buttó,2,Sinker,23.0,514,709,1223,58.0,42.0
José Buttó,2,Slider,12.9,514,709,1223,58.0,42.0
José Buttó,2,Sweeper,10.5,514,709,1223,58.0,42.0
Jose Quintana,2,Sinker,30.4,1150,1676,2826,59.3,40.7
Jose Quintana,2,Curveball,21.9,1150,1676,2826,59.3,40.7
Jose Quintana,2,Changeup,19.3,1150,1676,2826,59.3,40.7
Jose Quintana,2,4-Seam Fastball,22.5,1150,1676,2826,59.3,40.7
Jose Quintana,2,Slurve,6.0,1150,1676,2826,59.3,40.7
Josh Walker,2,4-Seam Fastball,34.0,78,137,215,63.7,36.3
Josh Walker,2,Curveball,38.1,78,137,215,63.7,36.3
Josh Walker,2,Sinker,27.9,78,137,215,63.7,36.3
Julio Teheran,2,Sinker,42.6,31,37,68,54.4,45.6
Julio Teheran,2,Changeup,8.8,31,37,68,54.4,45.6
Julio Teheran,2,Curveball,11.8,31,37,68,54.4,45.6
Julio Teheran,2,Cutter,29.4,31,37,68,54.4,45.6
Kodai Senga,1,4-Seam Fastball,39.7,21,52,73,71.2,28.8
Kodai Senga,1,Split-Finger,32.9,21,52,73,71.2,28.8
Kodai Senga,1,Cutter,15.1,21,52,73,71.2,28.8
Kodai Senga,1,Slider,4.1,21,52,73,71.2,28.8
Kodai Senga,1,Curveball,1.4,21,52,73,71.2,28.8
Luis Severino,2,4-Seam Fastball,35.5,1007,1885,2892,65.2,34.8
Luis Severino,2,Sinker,24.8,1007,1885,2892,65.2,34.8
Luis Severino,2,Sweeper,17.2,1007,1885,2892,65.2,34.8
Luis Severino,2,Cutter,8.1,1007,1885,2892,65.2,34.8
Luis Severino,2,Changeup,7.5,1007,1885,2892,65.2,34.8
Luis Severino,2,Slider,7.0,1007,1885,2892,65.2,34.8
Paul Blackburn,1,Cutter,22.0,153,255,408,62.5,37.5
Paul Blackburn,1,4-Seam Fastball,19.5,153,255,408,62.5,37.5
