name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Amos Willingham,2,Slider,15.0,7,13,20,65.0,35.0
Amos Willingham,2,Cutter,20.0,7,13,20,65.0,35.0
Amos Willingham,2,4-Seam Fastball,65.0,7,13,20,65.0,35.0
Derek Law,2,Slider,30.0,483,888,1371,64.8,35.2
Derek Law,2,Cutter,37.9,483,888,1371,64.8,35.2
Derek Law,2,4-Seam Fastball,13.6,483,888,1371,64.8,35.2
Derek Law,2,Sinker,9.8,483,888,1371,64.8,35.2
Derek Law,2,Changeup,5.1,483,888,1371,64.8,35.2
Derek Law,2,Curveball,3.6,483,888,1371,64.8,35.2
DJ Herz,1,4-Seam Fastball,54.2,567,1020,1587,64.3,35.7
DJ Herz,1,Changeup,24.5,567,1020,1587,64.3,35.7
DJ Herz,1,Slider,17.9,567,1020,1587,64.3,35.7
DJ Herz,1,Curveball,3.3,567,1020,1587,64.3,35.7
Eduardo Salazar,2,Sinker,49.8,178,273,451,60.5,39.5
Eduardo Salazar,2,Slider,42.7,178,273,451,60.5,39.5
Eduardo Salazar,2,4-Seam Fastball,6.9,178,273,451,60.5,39.5
Eduardo Salazar,2,Changeup,0.4,178,273,451,60.5,39.5
Ildemaro Vargas,2,Curveball,13.0,9,14,23,60.9,39.1
Jackson Rutledge,1,Sinker,33.8,49,90,139,64.7,35.3
Jackson Rutledge,1,4-Seam Fastball,15.1,49,90,139,64.7,35.3
Jackson Rutledge,1,Slider,23.7,49,90,139,64.7,35.3
Jackson Rutledge,1,Cutter,15.8,49,90,139,64.7,35.3
Jackson Rutledge,1,Curveball,2.9,49,90,139,64.7,35.3
Jackson Rutledge,1,Split-Finger,8.6,49,90,139,64.7,35.3
Jacob Barnes,2,Cutter,49.1,415,703,1118,62.9,37.1
Jacob Barnes,2,4-Seam Fastball,47.2,415,703,1118,62.9,37.1
Jacob Barnes,2,Slider,3.7,415,703,1118,62.9,37.1
Jake Irvin,1,4-Seam Fastball,37.9,1061,1985,3046,65.2,34.8
Jake Irvin,1,Curveball,31.3,1061,1985,3046,65.2,34.8
Jake Irvin,1,Sinker,20.5,1061,1985,3046,65.2,34.8
Jake Irvin,1,Cutter,6.5,1061,1985,3046,65.2,34.8
Jake Irvin,1,Changeup,3.5,1061,1985,3046,65.2,34.8
Jake Irvin,1,Slider,0.3,1061,1985,3046,65.2,34.8
Joan Adon,2,4-Seam Fastball,37.1,68,110,178,61.8,38.2
Joan Adon,2,Sinker,21.3,68,110,178,61.8,38.2
Joan Adon,2,Changeup,19.1,68,110,178,61.8,38.2
Joan Adon,2,Curveball,11.8,68,110,178,61.8,38.2
Joan Adon,2,Slider,10.7,68,110,178,61.8,38.2
Jordan Weems,2,4-Seam Fastball,61.5,269,465,734,63.4,36.6
Jordan Weems,2,Slider,34.9,269,465,734,63.4,36.6
Jordan Weems,2,Split-Finger,2.7,269,465,734,63.4,36.6
Jordan Weems,2,Curveball,0.8,269,465,734,63.4,36.6
Josiah Gray,1,Cutter,24.4,66,110,176,62.5,37.5
Josiah Gray,1,4-Seam Fastball,22.2,66,110,176,62.5,37.5
Josiah Gray,1,Sinker,9.7,66,110,176,62.5,37.5
Josiah Gray,1,Slider,11.9,66,110,176,62.5,37.5
Josiah Gray,1,Sweeper,10.8,66,110,176,62.5,37.5
Josiah Gray,1,Curveball,10.8,66,110,176,62.5,37.5
Josiah Gray,1,Changeup,10.2,66,110,176,62.5,37.5
Kyle Finnegan,2,4-Seam Fastball,67.6,349,729,1078,67.6,32.4
Kyle Finnegan,2,Split-Finger,26.8,349,729,1078,67.6,32.4
Kyle Finnegan,2,Slider,5.6,349,729,1078,67.6,32.4
MacKenzie Gore,1,4-Seam Fastball,55.3,1074,1921,2995,64.1,35.9
MacKenzie Gore,1,Curveball,19.6,1074,1921,2995,64.1,35.9
MacKenzie Gore,1,Slider,14.3,1074,1921,2995,64.1,35.9
MacKenzie Gore,1,Changeup,9.3,1074,1921,2995,64.1,35.9
MacKenzie Gore,1,Sweeper,1.6,1074,1921,2995,64.1,35.9
Matt Barnes,2,4-Seam Fastball,39.2,99,138,237,58.2,41.8
Matt Barnes,2,Curveball,43.5,99,138,237,58.2,41.8
Matt Barnes,2,Split-Finger,17.3,99,138,237,58.2,41.8
Mitchell Parker,1,4-Seam Fastball,48.6,799,1605,2404,66.8,33.2
Mitchell Parker,1,Split-Finger,19.1,799,1605,2404,66.8,33.2
Mitchell Parker,1,Curveball,22.5,799,1605,2404,66.8,33.2
Mitchell Parker,1,Slider,9.8,799,1605,2404,66.8,33.2
Orlando Ribalta,2,4-Seam Fastball,46.4,33,64,97,66.0,34.0
Orlando Ribalta,2,Changeup,34.0,33,64,97,66.0,34.0
Orlando Ribalta,2,Slider,19.6,33,64,97,66.0,34.0
Patrick Corbin,2,Sinker,33.8,1057,1831,2888,63.4,36.6
Patrick Corbin,2,Slider,34.3,1057,1831,2888,63.4,36.6
Patrick Corbin,2,Cutter,19.2,1057,1831,2888,63.4,36.6
