name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Albert Suárez,1,4-Seam Fastball,50.0,844,1394,2238,62.3,37.7
Albert Suárez,1,Changeup,17.2,844,1394,2238,62.3,37.7
Albert Suárez,1,Cutter,19.5,844,1394,2238,62.3,37.7
Albert Suárez,1,Curveball,13.2,844,1394,2238,62.3,37.7
Bryan Baker,2,4-Seam Fastball,48.6,132,239,371,64.4,35.6
Bryan Baker,2,Slider,28.1,132,239,371,64.4,35.6
Bryan Baker,2,Changeup,13.8,132,239,371,64.4,35.6
Bryan Baker,2,Curveball,9.2,132,239,371,64.4,35.6
Burch Smith,2,4-Seam Fastball,50.0,130,266,396,67.2,32.8
Burch Smith,2,Cutter,21.4,130,266,396,67.2,32.8
Burch Smith,2,Curveball,18.3,130,266,396,67.2,32.8
Burch Smith,2,Sweeper,9.3,130,266,396,67.2,32.8
Burch Smith,2,Sinker,0.2,130,266,396,67.2,32.8
Burch Smith,2,Changeup,0.8,130,266,396,67.2,32.8
Cade Povich,1,4-Seam Fastball,40.7,491,898,1389,64.7,35.3
Cade Povich,1,Curveball,19.6,491,898,1389,64.7,35.3
Cade Povich,1,Sweeper,13.0,491,898,1389,64.7,35.3
Cade Povich,1,Changeup,10.9,491,898,1389,64.7,35.3
Cade Povich,1,Sinker,8.4,491,898,1389,64.7,35.3
Cade Povich,1,Cutter,7.5,491,898,1389,64.7,35.3
Chayce McDermott,1,4-Seam Fastball,41.5,30,52,82,63.4,36.6
Chayce McDermott,1,Slider,23.2,30,52,82,63.4,36.6
Chayce McDermott,1,Sweeper,6.1,30,52,82,63.4,36.6
Chayce McDermott,1,Changeup,19.5,30,52,82,63.4,36.6
Cionel Pérez,2,Sinker,38.3,333,532,865,61.5,38.5
Cionel Pérez,2,Slider,37.5,333,532,865,61.5,38.5
Cionel Pérez,2,4-Seam Fastball,24.2,333,532,865,61.5,38.5
Colin Selby,2,4-Seam Fastball,26.8,26,37,63,58.7,41.3
