name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Adam Mazur,2,4-Seam Fastball,39.2,352,585,60.2,39.8
Adam Mazur,2,Slider,33.7,352,585,60.2,39.8
Adam Mazur,2,Curveball,12.7,352,585,60.2,39.8
Adam Mazur,2,Sinker,4.1,352,585,60.2,39.8
Adam Mazur,2,Changeup,10.3,352,585,60.2,39.8
Adrian Morejon,2,Sinker,36,714,1064,67.1,32.9
Adrian Morejon,2,Slider,30.4,714,1064,67.1,32.9
Adrian Morejon,2,4-Seam Fastball,23.4,714,1064,67.1,32.9
Adrian Morejon,2,Split-Finger,7.6,714,1064,67.1,32.9
Adrian Morejon,2,Sweeper,2.6,714,1064,67.1,32.9
Alek Jacob,2,Changeup,30.6,149,232,64.2,35.8
Alek Jacob,2,4-Seam Fastball,21.1,149,232,64.2,35.8
Alek Jacob,2,Sinker,34.1,149,232,64.2,35.8
Alek Jacob,2,Sweeper,14.2,149,232,64.2,35.8
Austin Davis,2,Cutter,38,81,142,57,43
Austin Davis,2,Sinker,38,81,142,57,43
Austin Davis,2,Sweeper,23.9,81,142,57,43
Bryan Hoeing,2,Sinker,50.5,201,305,65.9,34.1
Bryan Hoeing,2,Split-Finger,20.6,201,305,65.9,34.1
Bryan Hoeing,2,Slider,22.9,201,305,65.9,34.1
Bryan Hoeing,2,4-Seam Fastball,6,201,305,65.9,34.1
Carl Jr. Edwards,2,4-Seam Fastball,50,4,12,33.3,66.7
Carl Jr. Edwards,2,Curveball,41.7,4,12,33.3,66.7
Dylan Cease,1,Slider,42.9,1999,3188,62.7,37.3
Dylan Cease,1,4-Seam Fastball,43.5,1999,3188,62.7,37.3
Dylan Cease,1,Curveball,7.9,1999,3188,62.7,37.3
Dylan Cease,1,Sweeper,4.2,1999,3188,62.7,37.3
Dylan Cease,1,Cutter,0.6,1999,3188,62.7,37.3
Dylan Cease,1,Changeup,0.9,1999,3188,62.7,37.3
Jason Adam,2,Changeup,25.8,255,403,63.3,36.7
Jason Adam,2,4-Seam Fastball,37.4,255,403,63.3,36.7
Jason Adam,2,Slider,20.6,255,403,63.3,36.7
Jason Adam,2,Sweeper,16.1,255,403,63.3,36.7
Jeremiah Estrada,2,4-Seam Fastball,56.5,672,1004,66.9,33.1
Jeremiah Estrada,2,Split-Finger,19.8,672,1004,66.9,33.1
Jeremiah Estrada,2,Slider,23.6,672,1004,66.9,33.1
Jhony Brito,2,Changeup,34.4,408,630,64.8,35.2
Jhony Brito,2,Sinker,24.8,408,630,64.8,35.2
Jhony Brito,2,4-Seam Fastball,26.3,408,630,64.8,35.2
Jhony Brito,2,Slider,9.1,408,630,64.8,35.2
Jhony Brito,2,Sweeper,2.9,408,630,64.8,35.2
Jhony Brito,2,Curveball,2.2,408,630,64.8,35.2
Joe Musgrove,1,4-Seam Fastball,24.6,1036,1582,65.5,34.5
Joe Musgrove,1,Cutter,20.4,1036,1582,65.5,34.5
Joe Musgrove,1,Sweeper,20,1036,1582,65.5,34.5
Joe Musgrove,1,Curveball,22.5,1036,1582,65.5,34.5
Joe Musgrove,1,Changeup,7.8,1036,1582,65.5,34.5
Joe Musgrove,1,Sinker,4.4,1036,1582,65.5,34.5
Joe Musgrove,1,Slider,0.3,1036,1582,65.5,34.5
Logan Gillaspie,2,4-Seam Fastball,47,113,151,74.8,25.2
Logan Gillaspie,2,Curveball,19.9,113,151,74.8,25.2
Logan Gillaspie,2,Changeup,14.6,113,151,74.8,25.2
Logan Gillaspie,2,Cutter,6.6,113,151,74.8,25.2
Logan Gillaspie,2,Sweeper,10.6,113,151,74.8,25.2
Logan Gillaspie,2,Slider,1.3,113,151,74.8,25.2
Martín Pérez,2,Sinker,35.8,524,816,64.2,35.8
Martín Pérez,2,Changeup,22.7,524,816,64.2,35.8
Martín Pérez,2,Cutter,22.1,524,816,64.2,35.8
Martín Pérez,2,Curveball,14.1,524,816,64.2,35.8
Martín Pérez,2,4-Seam Fastball,5.3,524,816,64.2,35.8
Matt Waldron,1,Knuckleball,38.2,1570,2451,64.1,35.9
Matt Waldron,1,4-Seam Fastball,19.1,1570,2451,64.1,35.9
Matt Waldron,1,Sinker,14.3,1570,2451,64.1,35.9
Matt Waldron,1,Sweeper,19.8,1570,2451,64.1,35.9
Matt Waldron,1,Cutter,8.6,1570,2451,64.1,35.9
Michael King,1,Changeup,24.6,1872,2895,64.7,35.3
Michael King,1,Sinker,27.9,1872,2895,64.7,35.3
Michael King,1,4-Seam Fastball,24.1,1872,2895,64.7,35.3
Michael King,1,Sweeper,17.8,1872,2895,64.7,35.3
Michael King,1,Slider,5.6,1872,2895,64.7,35.3
Randy Vásquez,1,4-Seam Fastball,28.5,1091,1688,64.6,35.4
Randy Vásquez,1,Sinker,15.7,1091,1688,64.6,35.4
Randy Vásquez,1,Curveball,19.7,1091,1688,64.6,35.4
Randy Vásquez,1,Cutter,13.7,1091,1688,64.6,35.4
Randy Vásquez,1,Changeup,12.4,1091,1688,64.6,35.4
Randy Vásquez,1,Sweeper,10,1091,1688,64.6,35.4
Robert Suarez,2,4-Seam Fastball,71.4,655,978,67,33
Robert Suarez,2,Sinker,15.6,655,978,67,33
Robert Suarez,2,Changeup,12.6,655,978,67,33
Robert Suarez,2,Cutter,0.4,655,978,67,33
