name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Aaron Nola,1,Curveball,32.9,1101,2092,3193,65.5,34.5
Aaron Nola,1,4-Seam Fastball,27.8,1101,2092,3193,65.5,34.5
Aaron Nola,1,Sinker,20.4,1101,2092,3193,65.5,34.5
Aaron Nola,1,Changeup,9.6,1101,2092,3193,65.5,34.5
Aaron Nola,1,Cutter,9.2,1101,2092,3193,65.5,34.5
Carlos Estévez,2,4-Seam Fastball,61.1,112,231,343,67.3,32.7
Carlos Estévez,2,Slider,28.1,112,231,343,67.3,32.7
Carlos Estévez,2,Changeup,10.4,112,231,343,67.3,32.7
Cristopher Sánchez,1,Sinker,47.3,902,1896,2798,67.8,32.2
Cristopher Sánchez,1,Changeup,35.7,902,1896,2798,67.8,32.2
Cristopher Sánchez,1,Slider,16.9,902,1896,2798,67.8,32.2
Jeff Hoffman,2,4-Seam Fastball,39.1,333,669,1002,66.8,33.2
Jeff Hoffman,2,Slider,40.8,333,669,1002,66.8,33.2
Jeff Hoffman,2,Split-Finger,12.0,333,669,1002,66.8,33.2
Jeff Hoffman,2,Sinker,8.2,333,669,1002,66.8,33.2
José Alvarado,2,Sinker,59.4,405,651,1056,61.6,38.4
José Alvarado,2,Cutter,40.3,405,651,1056,61.6,38.4
José Alvarado,2,Curveball,0.3,405,651,1056,61.6,38.4
José Ruiz,2,Curveball,41.2,289,546,835,65.4,34.6
José Ruiz,2,4-Seam Fastball,27.8,289,546,835,65.4,34.6
José Ruiz,2,Sinker,23.8,289,546,835,65.4,34.6
José Ruiz,2,Changeup,3.2,289,546,835,65.4,34.6
José Ruiz,2,Slider,4.0,289,546,835,65.4,34.6
Kolby Allard,2,4-Seam Fastball,40.1,148,288,436,66.1,33.9
Kolby Allard,2,Changeup,24.3,148,288,436,66.1,33.9
Kolby Allard,2,Cutter,17.4,148,288,436,66.1,33.9
Kolby Allard,2,Curveball,12.2,148,288,436,66.1,33.9
Kolby Allard,2,Sinker,6.0,148,288,436,66.1,33.9
Matt Strahm,2,4-Seam Fastball,54.1,298,685,983,69.7,30.3
Matt Strahm,2,Sinker,14.6,298,685,983,69.7,30.3
Matt Strahm,2,Slider,19.5,298,685,983,69.7,30.3
Matt Strahm,2,Cutter,11.8,298,685,983,69.7,30.3
Max Lazar,2,4-Seam Fastball,61.2,74,140,214,65.4,34.6
Max Lazar,2,Cutter,16.8,74,140,214,65.4,34.6
Max Lazar,2,Curveball,21.5,74,140,214,65.4,34.6
Michael Mercado,2,4-Seam Fastball,47.3,102,158,260,60.8,39.2
Michael Mercado,2,Cutter,25.4,102,158,260,60.8,39.2
Michael Mercado,2,Curveball,22.3,102,158,260,60.8,39.2
Michael Mercado,2,Changeup,5.0,102,158,260,60.8,39.2
Nick Nelson,2,Sinker,29.2,34,62,96,64.6,35.4
Nick Nelson,2,4-Seam Fastball,27.1,34,62,96,64.6,35.4
Nick Nelson,2,Changeup,17.7,34,62,96,64.6,35.4
Nick Nelson,2,Slider,24.0,34,62,96,64.6,35.4
Nick Nelson,2,Knuckleball,2.1,34,62,96,64.6,35.4
Orion Kerkering,2,Sweeper,55.7,379,708,1087,65.1,34.9
Orion Kerkering,2,4-Seam Fastball,29.2,379,708,1087,65.1,34.9
Orion Kerkering,2,Sinker,15.2,379,708,1087,65.1,34.9
Ranger Suárez,1,Sinker,31.5,830,1525,2355,64.8,35.2
Ranger Suárez,1,Curveball,20.5,830,1525,2355,64.8,35.2
Ranger Suárez,1,4-Seam Fastball,19.5,830,1525,2355,64.8,35.2
Ranger Suárez,1,Changeup,16.3,830,1525,2355,64.8,35.2
Ranger Suárez,1,Cutter,12.1,830,1525,2355,64.8,35.2
Ranger Suárez,1,Slider,0.1,830,1525,2355,64.8,35.2
Ricardo Pinto,2,Sinker,44.5,88,133,221,60.2,39.8
Ricardo Pinto,2,Split-Finger,30.0,88,133,221,60.2,39.8
Ricardo Pinto,2,Slider,10.9,88,133,221,60.2,39.8
Ricardo Pinto,2,4-Seam Fastball,7.7,88,133,221,60.2,39.8
Ricardo Pinto,2,Sweeper,6.8,88,133,221,60.2,39.8
Seth Johnson,2,4-Seam Fastball,48.3,21,37,58,63.8,36.2
Seth Johnson,2,Slider,29.3,21,37,58,63.8,36.2
Seth Johnson,2,Changeup,12.1,21,37,58,63.8,36.2
Seth Johnson,2,Curveball,10.3,21,37,58,63.8,36.2
Spencer Turnbull,2,4-Seam Fastball,34.8,363,557,920,60.5,39.5
Spencer Turnbull,2,Sweeper,33.2,363,557,920,60.5,39.5
Spencer Turnbull,2,Sinker,12.3,363,557,920,60.5,39.5
Spencer Turnbull,2,Slider,5.3,363,557,920,60.5,39.5
Spencer Turnbull,2,Curveball,9.0,363,557,920,60.5,39.5
Spencer Turnbull,2,Changeup,5.3,363,557,920,60.5,39.5
Taijuan Walker,1,Sinker,27.5,543,892,1435,62.2,37.8
Taijuan Walker,1,Split-Finger,21.9,543,892,1435,62.2,37.8
Taijuan Walker,1,Sweeper,17.8,543,892,1435,62.2,37.8
Taijuan Walker,1,4-Seam Fastball,12.5,543,892,1435,62.2,37.8
Taijuan Walker,1,Curveball,10.8,543,892,1435,62.2,37.8
Taijuan Walker,1,Cutter,9.4,543,892,1435,62.2,37.8
Tanner Banks,2,4-Seam Fastball,30.9,137,255,392,65.1,34.9
Tanner Banks,2,Slider,32.9,137,255,392,65.1,34.9
Tanner Banks,2,Curveball,14.9,137,255,392,65.1,34.9
Tanner Banks,2,Changeup,12.9,137,255,392,65.1,34.9
Tanner Banks,2,Sinker,8.4,137,255,392,65.1,34.9
Tyler Gilbert,2,4-Seam Fastball,32.4,46,99,145,68.3,31.7
Tyler Gilbert,2,Sinker,36.6,46,99,145,68.3,31.7
Tyler Gilbert,2,Sweeper,15.2,46,99,145,68.3,31.7
Tyler Gilbert,2,Cutter,13.1,46,99,145,68.3,31.7
Tyler Gilbert,2,Curveball,2.1,46,99,145,68.3,31.7
Tyler Phillips,2,Sweeper,29.2,195,383,578,66.3,33.7
Tyler Phillips,2,Sinker,31.1,195,383,578,66.3,33.7
Tyler Phillips,2,4-Seam Fastball,18.7,195,383,578,66.3,33.7
Tyler Phillips,2,Curveball,14.4,195,383,578,66.3,33.7
Tyler Phillips,2,Changeup,6.6,195,383,578,66.3,33.7
Yunior Marte,2,Sinker,35.3,195,290,485,59.8,40.2
Yunior Marte,2,Slider,41.7,195,290,485,59.8,40.2
Yunior Marte,2,4-Seam Fastball,16.0,195,290,485,59.8,40.2
Yunior Marte,2,Split-Finger,6.2,195,290,485,59.8,40.2
Yunior Marte,2,Cutter,0.8,195,290,485,59.8,40.2
Zack Wheeler,1,4-Seam Fastball,41.4,1079,2057,3136,65.6,34.4
Zack Wheeler,1,Sinker,19.0,1079,2057,3136,65.6,34.4
Zack Wheeler,1,Sweeper,12.5,1079,2057,3136,65.6,34.4
Zack Wheeler,1,Curveball,10.1,1079,2057,3136,65.6,34.4
Zack Wheeler,1,Cutter,9.6,1079,2057,3136,65.6,34.4
Zack Wheeler,1,Split-Finger,7.3,1079,2057,3136,65.6,34.4
