name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Chase Anderson,2,Changeup,30.4,81,132,61.4,38.6
Chase Anderson,2,Cutter,33.9,81,132,61.4,38.6
Chase Anderson,2,Sweeper,15.2,81,132,61.4,38.6
Chase Anderson,2,4-Seam Fastball,14.9,81,132,61.4,38.6
Chase Anderson,2,Sinker,1.7,81,132,61.4,38.6
Chase Anderson,2,Curveball,4,81,132,61.4,38.6
Grant Anderson,2,Slider,41,309,483,64,36
Grant Anderson,2,Sinker,24,309,483,64,36
Grant Anderson,2,4-Seam Fastball,27.5,309,483,64,36
Grant Anderson,2,Changeup,7.5,309,483,64,36
Cody Bradford,1,4-Seam Fastball,52.3,801,1176,68.1,31.9
Cody Bradford,1,Changeup,27.3,801,1176,68.1,31.9
Cody Bradford,1,Curveball,12.8,801,1176,68.1,31.9
Cody Bradford,1,Slider,7,801,1176,68.1,31.9
Cody Bradford,1,Cutter,0.7,801,1176,68.1,31.9
Andrew Chafin,2,Slider,45.8,196,350,56,44
Andrew Chafin,2,Sinker,37.5,196,350,56,44
Andrew Chafin,2,4-Seam Fastball,16.6,196,350,56,44
Marc Church,2,Slider,53.3,12,15,80,20
Marc Church,2,4-Seam Fastball,46.7,12,15,80,20
Jacob deGrom,1,Slider,45.3,117,172,68,32
Jacob deGrom,1,4-Seam Fastball,45.9,117,172,68,32
Jacob deGrom,1,Changeup,5.8,117,172,68,32
Dane Dunning,2,Sinker,37.7,1061,1689,62.8,37.2
Dane Dunning,2,Slider,23.4,1061,1689,62.8,37.2
Dane Dunning,2,Cutter,18.8,1061,1689,62.8,37.2
Dane Dunning,2,Changeup,12.5,1061,1689,62.8,37.2
Dane Dunning,2,4-Seam Fastball,2.8,1061,1689,62.8,37.2
Dane Dunning,2,Curveball,4.7,1061,1689,62.8,37.2
Nathan Eovaldi,2,4-Seam Fastball,37.4,1778,2623,67.8,32.2
Nathan Eovaldi,2,Split-Finger,30.8,1778,2623,67.8,32.2
Nathan Eovaldi,2,Cutter,14.8,1778,2623,67.8,32.2
Nathan Eovaldi,2,Curveball,13.7,1778,2623,67.8,32.2
Nathan Eovaldi,2,Slider,3.3,1778,2623,67.8,32.2
Matt Festa,2,4-Seam Fastball,40,246,359,68.5,31.5
Matt Festa,2,Cutter,26.5,246,359,68.5,31.5
Matt Festa,2,Sweeper,33.2,246,359,68.5,31.5
Gerson Garabito,2,Curveball,33.9,305,492,62,38
Gerson Garabito,2,4-Seam Fastball,39.2,305,492,62,38
Gerson Garabito,2,Changeup,11.6,305,492,62,38
Gerson Garabito,2,Sinker,10.4,305,492,62,38
Gerson Garabito,2,Slider,4.9,305,492,62,38
Jon Gray,1,4-Seam Fastball,44.4,1087,1631,66.6,33.4
Jon Gray,1,Slider,43.9,1087,1631,66.6,33.4
Jon Gray,1,Changeup,7.1,1087,1631,66.6,33.4
Jon Gray,1,Curveball,4.6,1087,1631,66.6,33.4
Andrew Heaney,2,4-Seam Fastball,50.1,1791,2735,65.5,34.5
Andrew Heaney,2,Slider,27.8,1791,2735,65.5,34.5
Andrew Heaney,2,Changeup,17,1791,2735,65.5,34.5
Andrew Heaney,2,Sinker,1.4,1791,2735,65.5,34.5
Andrew Heaney,2,Curveball,3.6,1791,2735,65.5,34.5
Andrew Heaney,2,Cutter,0.1,1791,2735,65.5,34.5
Jacob Latz,2,4-Seam Fastball,49.4,499,815,61.2,38.8
Jacob Latz,2,Changeup,22.6,499,815,61.2,38.8
Jacob Latz,2,Slider,22.9,499,815,61.2,38.8
Jacob Latz,2,Curveball,5,499,815,61.2,38.8
José Leclerc,2,Slider,32.2,740,1204,61.5,38.5
