name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Ben Rortvedt,2,Changeup,13.9,19,17,36,47.2,52.8
Chris Devenski,2,Changeup,47.5,201,333,534,62.4,37.6
Chris Devenski,2,4-Seam Fastball,31.0,201,333,534,62.4,37.6
Chris Devenski,2,Cutter,13.9,201,333,534,62.4,37.6
Chris Devenski,2,Sweeper,7.7,201,333,534,62.4,37.6
Cole Sulser,2,4-Seam Fastball,49.0,74,124,198,62.6,37.4
Cole Sulser,2,Changeup,25.7,74,124,198,62.6,37.4
Cole Sulser,2,Slider,8.2,74,124,198,62.6,37.4
Cole Sulser,2,Cutter,17.1,74,124,198,62.6,37.4
Colin Poche,2,4-Seam Fastball,68.1,204,339,543,62.4,37.6
Colin Poche,2,Slider,31.9,204,339,543,62.4,37.6
Drew Rasmussen,2,Sinker,29.2,148,312,460,67.8,32.2
Drew Rasmussen,2,4-Seam Fastball,37.7,148,312,460,67.8,32.2
Drew Rasmussen,2,Cutter,27.7,148,312,460,67.8,32.2
Drew Rasmussen,2,Sweeper,5.4,148,312,460,67.8,32.2
Edwin Uceta,2,Changeup,34.1,223,451,674,66.9,33.1
Edwin Uceta,2,4-Seam Fastball,40.2,223,451,674,66.9,33.1
Edwin Uceta,2,Cutter,21.3,223,451,674,66.9,33.1
Edwin Uceta,2,Sweeper,3.9,223,451,674,66.9,33.1
Edwin Uceta,2,Curveball,0.6,223,451,674,66.9,33.1
Erasmo Ramírez,2,Sinker,39.4,108,194,302,64.2,35.8
Erasmo Ramírez,2,Cutter,39.7,108,194,302,64.2,35.8
Erasmo Ramírez,2,Curveball,9.9,108,194,302,64.2,35.8
Erasmo Ramírez,2,4-Seam Fastball,4.3,108,194,302,64.2,35.8
Erasmo Ramírez,2,Changeup,6.6,108,194,302,64.2,35.8
Garrett Cleavinger,2,Slider,22.0,384,673,1057,63.7,36.3
Garrett Cleavinger,2,4-Seam Fastball,24.8,384,673,1057,63.7,36.3
Garrett Cleavinger,2,Cutter,26.3,384,673,1057,63.7,36.3
Garrett Cleavinger,2,Sweeper,17.4,384,673,1057,63.7,36.3
Garrett Cleavinger,2,Sinker,9.5,384,673,1057,63.7,36.3
Hunter Bigge,2,4-Seam Fastball,59.0,82,147,229,64.2,35.8
Hunter Bigge,2,Slider,29.7,82,147,229,64.2,35.8
Hunter Bigge,2,Sweeper,4.3,82,147,229,64.2,35.8
Hunter Bigge,2,Curveball,7.0,82,147,229,64.2,35.8
Jacob Lopez,2,Slider,37.6,78,100,178,56.2,43.8
Jacob Lopez,2,4-Seam Fastball,42.1,78,100,178,56.2,43.8
