name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Bailey Horn,2,Sweeper,60.1,108,196,304,64.5,35.5
Bailey Horn,2,4-Seam Fastball,23.8,108,196,304,64.5,35.5
Bailey Horn,2,Cutter,9.9,108,196,304,64.5,35.5
Bailey Horn,2,Curveball,6.3,108,196,304,64.5,35.5
Brad Keller,2,4-Seam Fastball,37.7,158,260,418,62.2,37.8
Brad Keller,2,Slider,36.5,158,260,418,62.2,37.8
Brad Keller,2,Changeup,13.1,158,260,418,62.2,37.8
Brad Keller,2,Sweeper,6.3,158,260,418,62.2,37.8
Brad Keller,2,Sinker,5.0,158,260,418,62.2,37.8
Brad Keller,2,Curveball,1.5,158,260,418,62.2,37.8
Brayan Bello,1,Sinker,40.3,1001,1712,2713,63.1,36.9
Brayan Bello,1,Changeup,26.9,1001,1712,2713,63.1,36.9
Brayan Bello,1,Slider,28.0,1001,1712,2713,63.1,36.9
Brayan Bello,1,4-Seam Fastball,4.8,1001,1712,2713,63.1,36.9
Brennan Bernardino,2,Sinker,46.6,295,565,860,65.7,34.3
Brennan Bernardino,2,Curveball,35.1,295,565,860,65.7,34.3
Brennan Bernardino,2,Cutter,11.2,295,565,860,65.7,34.3
Brennan Bernardino,2,Slider,7.1,295,565,860,65.7,34.3
Cam Booser,2,4-Seam Fastball,41.0,228,467,695,67.2,32.8
Cam Booser,2,Sweeper,23.6,228,467,695,67.2,32.8
Cam Booser,2,Cutter,35.4,228,467,695,67.2,32.8
Chase Shugart,2,Changeup,18.3,44,98,142,69.0,31.0
Chase Shugart,2,Sweeper,27.5,44,98,142,69.0,31.0
Chase Shugart,2,Cutter,19.7,44,98,142,69.0,31.0
Chase Shugart,2,Sinker,19.0,44,98,142,69.0,31.0
Chase Shugart,2,4-Seam Fastball,15.5,44,98,142,69.0,31.0
Chris Martin,2,Cutter,45.5,186,472,658,71.7,28.3
Chris Martin,2,4-Seam Fastball,31.1,186,472,658,71.7,28.3
Chris Martin,2,Split-Finger,13.1,186,472,658,71.7,28.3
Chris Martin,2,Sinker,9.4,186,472,658,71.7,28.3
Chris Martin,2,Sweeper,0.9,186,472,658,71.7,28.3
Cooper Criswell,2,Changeup,26.1,645,1112,1757,63.3,36.7
Cooper Criswell,2,Sinker,29.7,645,1112,1757,63.3,36.7
Cooper Criswell,2,Sweeper,26.8,645,1112,1757,63.3,36.7
Cooper Criswell,2,Cutter,15.4,645,1112,1757,63.3,36.7
Cooper Criswell,2,Slider,1.9,645,1112,1757,63.3,36.7
Garrett Whitlock,1,Changeup,28.3,116,205,321,63.9,36.1
Garrett Whitlock,1,Sinker,22.7,116,205,321,63.9,36.1
Garrett Whitlock,1,Cutter,19.3,116,205,321,63.9,36.1
Garrett Whitlock,1,Slider,15.3,116,205,321,63.9,36.1
Garrett Whitlock,1,Sweeper,14.3,116,205,321,63.9,36.1
Greg Weissert,2,Sinker,33.4,343,688,1031,66.7,33.3
Greg Weissert,2,4-Seam Fastball,22.8,343,688,1031,66.7,33.3
Greg Weissert,2,Sweeper,29.2,343,688,1031,66.7,33.3
Greg Weissert,2,Changeup,8.8,343,688,1031,66.7,33.3
Greg Weissert,2,Slider,5.7,343,688,1031,66.7,33.3
Isaiah Campbell,2,Slider,47.9,43,76,119,63.9,36.1
Isaiah Campbell,2,Sweeper,31.1,43,76,119,63.9,36.1
Isaiah Campbell,2,4-Seam Fastball,19.3,43,76,119,63.9,36.1
Isaiah Campbell,2,Sinker,1.7,43,76,119,63.9,36.1
James Paxton,2,4-Seam Fastball,55.1,53,114,167,68.3,31.7
James Paxton,2,Curveball,30.3,53,114,167,68.3,31.7
James Paxton,2,Sinker,5.0,53,114,167,68.3,31.7
James Paxton,2,Changeup,6.6,53,114,167,68.3,31.7
James Paxton,2,Cutter,3.1,53,114,167,68.3,31.7
Joely Rodríguez,2,Sinker,49.0,78,171,249,68.7,31.3
Joely Rodríguez,2,Changeup,36.1,78,171,249,68.7,31.3
Joely Rodríguez,2,Sweeper,14.9,78,171,249,68.7,31.3
Josh Winckowski,2,Sinker,33.6,440,800,1240,64.5,35.5
Josh Winckowski,2,Cutter,35.2,440,800,1240,64.5,35.5
Josh Winckowski,2,Changeup,12.8,440,800,1240,64.5,35.5
Josh Winckowski,2,Slider,13.3,440,800,1240,64.5,35.5
Josh Winckowski,2,4-Seam Fastball,5.1,440,800,1240,64.5,35.5
Justin Slaten,2,Cutter,37.7,265,547,812,67.4,32.6
Justin Slaten,2,Sweeper,24.7,265,547,812,67.4,32.6
Justin Slaten,2,4-Seam Fastball,29.2,265,547,812,67.4,32.6
Justin Slaten,2,Curveball,8.4,265,547,812,67.4,32.6
