name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Alan Busenitz,2,Cutter,20.0,28,47,75,62.7,37.3
Alan Busenitz,2,Sinker,22.7,28,47,75,62.7,37.3
Alan Busenitz,2,Sweeper,17.3,28,47,75,62.7,37.3
Alan Busenitz,2,Changeup,6.7,28,47,75,62.7,37.3
Alan Busenitz,2,4-Seam Fastball,21.3,28,47,75,62.7,37.3
Alan Busenitz,2,Curveball,12.0,28,47,75,62.7,37.3
Alexis Díaz,2,4-Seam Fastball,57.9,377,600,977,61.4,38.6
Alexis Díaz,2,Slider,42.1,377,600,977,61.4,38.6
Andrew Abbott,1,4-Seam Fastball,53.5,843,1490,2333,63.9,36.1
Andrew Abbott,1,Sweeper,18.3,843,1490,2333,63.9,36.1
Andrew Abbott,1,Changeup,16.3,843,1490,2333,63.9,36.1
Andrew Abbott,1,Curveball,11.6,843,1490,2333,63.9,36.1
Andrew Abbott,1,Slider,0.2,843,1490,2333,63.9,36.1
Brandon Leibrandt,2,Slider,27.4,39,78,117,66.7,33.3
Brandon Leibrandt,2,Changeup,32.5,39,78,117,66.7,33.3
Brandon Leibrandt,2,4-Seam Fastball,26.5,39,78,117,66.7,33.3
Brandon Leibrandt,2,Sinker,6.0,39,78,117,66.7,33.3
Brandon Williamson,2,Cutter,45.7,101,155,256,60.5,39.5
Brandon Williamson,2,4-Seam Fastball,25.0,101,155,256,60.5,39.5
Brandon Williamson,2,Changeup,21.9,101,155,256,60.5,39.5
Brandon Williamson,2,Curveball,7.0,101,155,256,60.5,39.5
Brent Suter,2,4-Seam Fastball,42.9,355,667,1022,65.3,34.7
Brent Suter,2,Sinker,21.0,355,667,1022,65.3,34.7
Brent Suter,2,Changeup,19.8,355,667,1022,65.3,34.7
Brent Suter,2,Slider,16.3,355,667,1022,65.3,34.7
Buck Farmer,2,Slider,34.8,426,745,1171,63.6,36.4
Buck Farmer,2,Sinker,24.3,426,745,1171,63.6,36.4
Buck Farmer,2,Changeup,20.9,426,745,1171,63.6,36.4
