name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Angel Chivilli,2,Sinker,41.5,335,514,65.2,34.8
Angel Chivilli,2,Changeup,40,335,514,65.2,34.8
Angel Chivilli,2,Slider,18.3,335,514,65.2,34.8
Anthony Molina,2,4-Seam Fastball,48.3,662,1049,63.1,36.9
Anthony Molina,2,Slider,22.4,662,1049,63.1,36.9
Anthony Molina,2,Changeup,22.4,662,1049,63.1,36.9
Anthony Molina,2,Curveball,6.9,662,1049,63.1,36.9
Antonio Senzatela,1,4-Seam Fastball,58.3,127,218,58.3,41.7
Antonio Senzatela,1,Slider,22.5,127,218,58.3,41.7
Antonio Senzatela,1,Changeup,11.9,127,218,58.3,41.7
Antonio Senzatela,1,Curveball,6.9,127,218,58.3,41.7
Antonio Senzatela,1,Sinker,0.5,127,218,58.3,41.7
Austin Gomber,1,4-Seam Fastball,40.3,1725,2622,65.8,34.2
Austin Gomber,1,Curveball,22.4,1725,2622,65.8,34.2
Austin Gomber,1,Changeup,20.5,1725,2622,65.8,34.2
Austin Gomber,1,Slider,16.7,1725,2622,65.8,34.2
Austin Gomber,1,Sinker,0.1,1725,2622,65.8,34.2
Bradley Blalock,1,4-Seam Fastball,47.3,327,531,61.6,38.4
Bradley Blalock,1,Slider,22.1,327,531,61.6,38.4
Bradley Blalock,1,Split-Finger,15.9,327,531,61.6,38.4
Bradley Blalock,1,Curveball,10.5,327,531,61.6,38.4
Bradley Blalock,1,Cutter,4,327,531,61.6,38.4
Cal Quantrill,2,Sinker,40.2,1613,2645,61,39
Cal Quantrill,2,Split-Finger,32,1613,2645,61,39
Cal Quantrill,2,Cutter,13.5,1613,2645,61,39
Cal Quantrill,2,Curveball,12.6,1613,2645,61,39
Cal Quantrill,2,Changeup,1.8,1613,2645,61,39
Chasen Shreve,2,4-Seam Fastball,30,6,10,60,40
Chasen Shreve,2,Split-Finger,40,6,10,60,40
Chasen Shreve,2,Sweeper,30,6,10,60,40
Dakota Hudson,2,Sinker,32.7,900,1512,59.5,40.4
Dakota Hudson,2,Slider,24.4,900,1512,59.5,40.4
Dakota Hudson,2,4-Seam Fastball,15.3,900,1512,59.5,40.4
Dakota Hudson,2,Curveball,17.2,900,1512,59.5,40.4
Dakota Hudson,2,Changeup,9.9,900,1512,59.5,40.4
Dakota Hudson,2,Cutter,0.5,900,1512,59.5,40.4
Evan Justice,2,4-Seam Fastball,50,4,8,50,50
Evan Justice,2,Slider,12.5,4,8,50,50
Geoff Hartlieb,2,Cutter,25.4,95,138,68.8,31.2
Geoff Hartlieb,2,Sinker,26.8,95,138,68.8,31.2
Geoff Hartlieb,2,4-Seam Fastball,29,95,138,68.8,31.2
