name,Rotaion,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Alec Marsh,2,4-Seam Fastball,37.0,771,1392,2163,64.4,35.6
Alec Marsh,2,Sinker,13.8,771,1392,2163,64.4,35.6
Alec Marsh,2,Slider,17.9,771,1392,2163,64.4,35.6
Alec Marsh,2,Curveball,16.4,771,1392,2163,64.4,35.6
Alec Marsh,2,Changeup,10.0,771,1392,2163,64.4,35.6
Alec Marsh,2,Sweeper,4.9,771,1392,2163,64.4,35.6
Angel Zerpa,2,Sinker,43.3,351,603,954,63.2,36.8
Angel Zerpa,2,Slider,26.0,351,603,954,63.2,36.8
Angel Zerpa,2,4-Seam Fastball,20.1,351,603,954,63.2,36.8
Angel Zerpa,2,Changeup,10.3,351,603,954,63.2,36.8
Brady Singer,2,Slider,40.3,1105,1864,2969,62.8,37.2
Brady Singer,2,Sinker,41.3,1105,1864,2969,62.8,37.2
Brady Singer,2,Sweeper,5.2,1105,1864,2969,62.8,37.2
Brady Singer,2,4-Seam Fastball,11.3,1105,1864,2969,62.8,37.2
Brady Singer,2,Changeup,1.9,1105,1864,2969,62.8,37.2
Carlos Hernández,2,4-Seam Fastball,54.1,204,356,560,63.6,36.4
Carlos Hernández,2,Slider,20.2,204,356,560,63.6,36.4
Carlos Hernández,2,Curveball,14.3,204,356,560,63.6,36.4
Carlos Hernández,2,Split-Finger,11.4,204,356,560,63.6,36.4
Chris Stratton,2,4-Seam Fastball,38.2,394,601,995,60.4,39.6
Chris Stratton,2,Slider,20.6,394,601,995,60.4,39.6
Chris Stratton,2,Curveball,22.1,394,601,995,60.4,39.6
Chris Stratton,2,Changeup,9.9,394,601,995,60.4,39.6
Chris Stratton,2,Sinker,8.7,394,601,995,60.4,39.6
Chris Stratton,2,Sweeper,0.3,394,601,995,60.4,39.6
Cole Ragans,1,4-Seam Fastball,41.8,1138,1980,3118,63.5,36.5
Cole Ragans,1,Changeup,23.7,1138,1980,3118,63.5,36.5
Cole Ragans,1,Slider,12.8,1138,1980,3118,63.5,36.5
Cole Ragans,1,Cutter,11.3,1138,1980,3118,63.5,36.5
Cole Ragans,1,Curveball,10.4,1138,1980,3118,63.5,36.5
Dan Altavilla,2,4-Seam Fastball,57.8,35,48,83,57.8,42.2
Dan Altavilla,2,Slider,37.3,35,48,83,57.8,42.2
Dan Altavilla,2,Changeup,4.8,35,48,83,57.8,42.2
Garrett Hampson,2,Curveball,61.5,7,6,13,46.2,53.8
Garrett Hampson,2,Slider,38.5,7,6,13,46.2,53.8
Hunter Harvey,2,4-Seam Fastball,62.9,51,73,124,58.9,41.1
Hunter Harvey,2,Split-Finger,23.2,51,73,124,58.9,41.1
Hunter Harvey,2,Curveball,9.3,51,73,124,58.9,41.1
Hunter Harvey,2,Slider,4.6,51,73,124,58.9,41.1
James McArthur,2,Sinker,35.7,307,597,904,66.0,34.0
James McArthur,2,Curveball,33.6,307,597,904,66.0,34.0
James McArthur,2,Slider,21.6,307,597,904,66.0,34.0
James McArthur,2,4-Seam Fastball,9.0,307,597,904,66.0,34.0
John Schreiber,2,Sinker,25.9,338,557,895,62.2,37.8
John Schreiber,2,Sweeper,26.9,338,557,895,62.2,37.8
John Schreiber,2,4-Seam Fastball,24.5,338,557,895,62.2,37.8
John Schreiber,2,Cutter,16.5,338,557,895,62.2,37.8
John Schreiber,2,Changeup,6.1,338,557,895,62.2,37.8
Jonathan Bowlan,2,4-Seam Fastball,44.1,25,43,68,63.2,36.8
Jonathan Bowlan,2,Sinker,19.1,25,43,68,63.2,36.8
Jonathan Bowlan,2,Slider,19.1,25,43,68,63.2,36.8
Jonathan Bowlan,2,Curveball,13.2,25,43,68,63.2,36.8
Jonathan Bowlan,2,Changeup,4.4,25,43,68,63.2,36.8
Jordan Lyles,2,Changeup,18.1,27,45,72,62.5,37.5
Jordan Lyles,2,4-Seam Fastball,26.4,27,45,72,62.5,37.5
Jordan Lyles,2,Sweeper,15.3,27,45,72,62.5,37.5
Jordan Lyles,2,Sinker,9.7,27,45,72,62.5,37.5
Jordan Lyles,2,Cutter,18.1,27,45,72,62.5,37.5
Jordan Lyles,2,Curveball,12.5,27,45,72,62.5,37.5
Kris Bubic,2,Slider,36.0,141,326,467,69.8,30.2
Kris Bubic,2,4-Seam Fastball,44.3,141,326,467,69.8,30.2
Kris Bubic,2,Changeup,16.5,141,326,467,69.8,30.2
Kris Bubic,2,Sinker,2.8,141,326,467,69.8,30.2
Lucas Erceg,2,4-Seam Fastball,30.9,128,254,382,66.5,33.5
Lucas Erceg,2,Sinker,21.3,128,254,382,66.5,33.5
Lucas Erceg,2,Slider,27.9,128,254,382,66.5,33.5
Lucas Erceg,2,Changeup,19.9,128,254,382,66.5,33.5
Matt Sauer,2,4-Seam Fastball,45.3,127,200,327,61.2,38.8
Matt Sauer,2,Slider,23.2,127,200,327,61.2,38.8
Matt Sauer,2,Curveball,16.2,127,200,327,61.2,38.8
Matt Sauer,2,Sinker,8.9,127,200,327,61.2,38.8
Matt Sauer,2,Split-Finger,6.4,127,200,327,61.2,38.8
Michael Lorenzen,2,Sinker,21.2,168,270,438,61.6,38.4
Michael Lorenzen,2,4-Seam Fastball,27.2,168,270,438,61.6,38.4
Michael Lorenzen,2,Changeup,18.8,168,270,438,61.6,38.4
Michael Lorenzen,2,Cutter,10.0,168,270,438,61.6,38.4
Michael Lorenzen,2,Slider,8.8,168,270,438,61.6,38.4
Michael Lorenzen,2,Curveball,7.9,168,270,438,61.6,38.4
Michael Lorenzen,2,Sweeper,6.1,168,270,438,61.6,38.4
Michael Wacha,1,Changeup,32.2,927,1676,2603,64.4,35.6
Michael Wacha,1,4-Seam Fastball,23.8,927,1676,2603,64.4,35.6
Michael Wacha,1,Sinker,15.3,927,1676,2603,64.4,35.6
Michael Wacha,1,Cutter,11.4,927,1676,2603,64.4,35.6
Michael Wacha,1,Slider,9.2,927,1676,2603,64.4,35.6
Michael Wacha,1,Curveball,8.1,927,1676,2603,64.4,35.6
Nick Anderson,2,Curveball,45.5,203,371,574,64.6,35.4
Nick Anderson,2,Sinker,26.0,203,371,574,64.6,35.4
Nick Anderson,2,4-Seam Fastball,22.5,203,371,574,64.6,35.4
Nick Anderson,2,Changeup,5.9,203,371,574,64.6,35.4
Sam Long,2,4-Seam Fastball,38.5,257,447,704,63.5,36.5
Sam Long,2,Slider,30.8,257,447,704,63.5,36.5
Sam Long,2,Curveball,22.2,257,447,704,63.5,36.5
Sam Long,2,Split-Finger,8.5,257,447,704,63.5,36.5
Seth Lugo,1,4-Seam Fastball,24.0,1079,2033,3112,65.3,34.7
Seth Lugo,1,Sinker,18.5,1079,2033,3112,65.3,34.7
Seth Lugo,1,Curveball,16.1,1079,2033,3112,65.3,34.7
Seth Lugo,1,Slurve,10.1,1079,2033,3112,65.3,34.7
Seth Lugo,1,Slider,9.5,1079,2033,3112,65.3,34.7
Seth Lugo,1,Cutter,8.2,1079,2033,3112,65.3,34.7
Seth Lugo,1,Changeup,6.9,1079,2033,3112,65.3,34.7
Seth Lugo,1,Sweeper,4.0,1079,2033,3112,65.3,34.7
Seth Lugo,1,Split-Finger,2.6,1079,2033,3112,65.3,34.7
Steven Cruz,2,4-Seam Fastball,41.5,26,56,82,68.3,31.7
Steven Cruz,2,Slider,22.0,26,56,82,68.3,31.7
Steven Cruz,2,Cutter,34.1,26,56,82,68.3,31.7
Tyler Duffey,2,4-Seam Fastball,28.0,81,108,189,57.1,42.9
Tyler Duffey,2,Curveball,30.2,81,108,189,57.1,42.9
Tyler Duffey,2,Slider,17.5,81,108,189,57.1,42.9
Tyler Duffey,2,Sinker,16.4,81,108,189,57.1,42.9
Tyler Duffey,2,Changeup,7.9,81,108,189,57.1,42.9
Will Smith,2,Slider,44.7,241,432,673,64.2,35.8
Will Smith,2,4-Seam Fastball,29.0,241,432,673,64.2,35.8
Will Smith,2,Changeup,14.6,241,432,673,64.2,35.8
Will Smith,2,Curveball,11.7,241,432,673,64.2,35.8
