name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Alex Faedo,2,4-Seam Fastball,35.2,376,631,1007,62.7,37.3
Alex Faedo,2,Slider,39.6,376,631,1007,62.7,37.3
Alex Faedo,2,Changeup,19.9,376,631,1007,62.7,37.3
Alex Faedo,2,Sinker,5.4,376,631,1007,62.7,37.3
Alex Lange,2,Curveball,57.8,159,218,377,57.8,42.2
Alex Lange,2,4-Seam Fastball,13.5,159,218,377,57.8,42.2
Alex Lange,2,Sinker,21.5,159,218,377,57.8,42.2
Alex Lange,2,Changeup,7.2,159,218,377,57.8,42.2
Beau Brieske,2,4-Seam Fastball,40.4,420,733,1153,63.6,36.4
Beau Brieske,2,Changeup,26.5,420,733,1153,63.6,36.4
Beau Brieske,2,Sinker,15.9,420,733,1153,63.6,36.4
Beau Brieske,2,Slider,17.3,420,733,1153,63.6,36.4
Brant Hurter,2,Sinker,50.4,195,450,645,69.8,30.2
Brant Hurter,2,Sweeper,30.7,195,450,645,69.8,30.2
Brant Hurter,2,Changeup,11.8,195,450,645,69.8,30.2
Brant Hurter,2,4-Seam Fastball,7.1,195,450,645,69.8,30.2
Brenan Hanifee,2,Sinker,53.9,148,299,447,66.9,33.1
Brenan Hanifee,2,Slider,22.4,148,299,447,66.9,33.1
Brenan Hanifee,2,4-Seam Fastball,14.1,148,299,447,66.9,33.1
Brenan Hanifee,2,Changeup,9.4,148,299,447,66.9,33.1
Bryan Sammons,2,4-Seam Fastball,39.3,121,253,374,67.6,32.4
Bryan Sammons,2,Cutter,25.4,121,253,374,67.6,32.4
Bryan Sammons,2,Sweeper,19.3,121,253,374,67.6,32.4
Bryan Sammons,2,Changeup,8.3,121,253,374,67.6,32.4
Bryan Sammons,2,Curveball,7.8,121,253,374,67.6,32.4
Casey Mize,1,4-Seam Fastball,38.6,623,1167,1790,65.2,34.8
Casey Mize,1,Slider,27.7,623,1167,1790,65.2,34.8
Casey Mize,1,Split-Finger,18.1,623,1167,1790,65.2,34.8
Casey Mize,1,Sinker,8.0,623,1167,1790,65.2,34.8
Casey Mize,1,Curveball,7.5,623,1167,1790,65.2,34.8
Jackson Jobe,2,4-Seam Fastball,56.3,17,31,48,64.6,35.4
Jackson Jobe,2,Cutter,20.8,17,31,48,64.6,35.4
Jackson Jobe,2,Changeup,14.6,17,31,48,64.6,35.4
Jason Foley,2,Sinker,54.7,303,603,906,66.6,33.4
Jason Foley,2,Slider,31.5,303,603,906,66.6,33.4
Jason Foley,2,4-Seam Fastball,8.2,303,603,906,66.6,33.4
