name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Bailey Ober,1,4-Seam Fastball,38.1,876,1821,2697,67.5,32.5
Bailey Ober,1,Changeup,29.4,876,1821,2697,67.5,32.5
Bailey Ober,1,Cutter,19.5,876,1821,2697,67.5,32.5
Bailey Ober,1,Slider,11.8,876,1821,2697,67.5,32.5
Bailey Ober,1,Curveball,1.1,876,1821,2697,67.5,32.5
Brent Headrick,2,Slider,50.0,24,36,60,60.0,40.0
Brent Headrick,2,4-Seam Fastball,38.3,24,36,60,60.0,40.0
Brent Headrick,2,Changeup,11.7,24,36,60,60.0,40.0
Brock Stewart,2,4-Seam Fastball,45.1,92,176,268,65.7,34.3
Brock Stewart,2,Sweeper,25.0,92,176,268,65.7,34.3
Brock Stewart,2,Cutter,17.9,92,176,268,65.7,34.3
Brock Stewart,2,Sinker,10.8,92,176,268,65.7,34.3
Brock Stewart,2,Changeup,1.1,92,176,268,65.7,34.3
Caleb Boushley,2,4-Seam Fastball,39.7,25,38,63,60.3,39.7
Caleb Boushley,2,Sinker,19.0,25,38,63,60.3,39.7
Caleb Boushley,2,Changeup,11.1,25,38,63,60.3,39.7
Caleb Boushley,2,Sweeper,14.3,25,38,63,60.3,39.7
Caleb Boushley,2,Curveball,15.9,25,38,63,60.3,39.7
Caleb Thielbar,2,4-Seam Fastball,43.4,297,590,887,66.5,33.5
Caleb Thielbar,2,Sweeper,31.1,297,590,887,66.5,33.5
Caleb Thielbar,2,Curveball,24.8,297,590,887,66.5,33.5
Chris Paddack,1,4-Seam Fastball,42.9,503,959,1462,65.6,34.4
Chris Paddack,1,Changeup,25.9,503,959,1462,65.6,34.4
Chris Paddack,1,Slider,17.7,503,959,1462,65.6,34.4
Chris Paddack,1,Curveball,13.6,503,959,1462,65.6,34.4
Cole Irvin,2,Sinker,20.0,32,45,77,58.4,41.6
Cole Irvin,2,4-Seam Fastball,26.4,32,45,77,58.4,41.6
Cole Irvin,2,Curveball,25.2,32,45,77,58.4,41.6
Cole Irvin,2,Changeup,13.4,32,45,77,58.4,41.6
Cole Irvin,2,Cutter,10.9,32,45,77,58.4,41.6
Cole Irvin,2,Slider,4.1,32,45,77,58.4,41.6
Cole Sands,2,4-Seam Fastball,28.2,385,769,1154,66.6,33.4
Cole Sands,2,Cutter,29.6,385,769,1154,66.6,33.4
Cole Sands,2,Split-Finger,17.2,385,769,1154,66.6,33.4
Cole Sands,2,Curveball,14.1,385,769,1154,66.6,33.4
Cole Sands,2,Sinker,10.9,385,769,1154,66.6,33.4
Daniel Duarte,2,Slider,35.7,18,38,56,67.9,32.1
Daniel Duarte,2,4-Seam Fastball,25.0,18,38,56,67.9,32.1
Daniel Duarte,2,Changeup,14.3,18,38,56,67.9,32.1
Daniel Duarte,2,Cutter,19.6,18,38,56,67.9,32.1
David Festa,1,Slider,31.8,386,713,1099,64.9,35.1
David Festa,1,4-Seam Fastball,40.2,386,713,1099,64.9,35.1
David Festa,1,Changeup,28.0,386,713,1099,64.9,35.1
Diego Castillo,2,Slider,62.7,75,102,177,57.6,42.4
Diego Castillo,2,Sinker,23.2,75,102,177,57.6,42.4
Diego Castillo,2,4-Seam Fastball,11.9,75,102,177,57.6,42.4
