name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Bryan Shaw,2,Cutter,64.2,42,53,95,55.8,44.2
Bryan Shaw,2,Slider,12.6,42,53,95,55.8,44.2
Bryan Shaw,2,Sinker,6.3,42,53,95,55.8,44.2
Bryan Shaw,2,Curveball,11.6,42,53,95,55.8,44.2
Bryan Shaw,2,Changeup,5.3,42,53,95,55.8,44.2
Chad Kuhl,2,Slider,35.6,410,570,980,58.2,41.8
Chad Kuhl,2,Sinker,23.2,410,570,980,58.2,41.8
Chad Kuhl,2,Changeup,12.6,410,570,980,58.2,41.8
Chad Kuhl,2,Sweeper,10.3,410,570,980,58.2,41.8
Chad Kuhl,2,4-Seam Fastball,9.1,410,570,980,58.2,41.8
Chad Kuhl,2,Cutter,9.3,410,570,980,58.2,41.8
Chris Flexen,2,4-Seam Fastball,37.0,1080,1717,2797,61.4,38.6
Chris Flexen,2,Cutter,26.1,1080,1717,2797,61.4,38.6
Chris Flexen,2,Changeup,15.7,1080,1717,2797,61.4,38.6
Chris Flexen,2,Curveball,12.2,1080,1717,2797,61.4,38.6
Chris Flexen,2,Slider,8.7,1080,1717,2797,61.4,38.6
Chris Flexen,2,Sinker,0.2,1080,1717,2797,61.4,38.6
Davis Martin,1,Slider,26.8,327,565,892,63.3,36.7
Davis Martin,1,Changeup,19.6,327,565,892,63.3,36.7
Davis Martin,1,4-Seam Fastball,28.5,327,565,892,63.3,36.7
Davis Martin,1,Cutter,17.5,327,565,892,63.3,36.7
Davis Martin,1,Curveball,7.6,327,565,892,63.3,36.7
Deivi García,2,4-Seam Fastball,55.8,123,160,283,56.5,43.5
Deivi García,2,Curveball,15.9,123,160,283,56.5,43.5
Deivi García,2,Changeup,12.4,123,160,283,56.5,43.5
Deivi García,2,Sweeper,15.9,123,160,283,56.5,43.5
Dominic Leone,2,4-Seam Fastball,26.6,151,210,361,58.2,41.8
Dominic Leone,2,Changeup,26.0,151,210,361,58.2,41.8
Dominic Leone,2,Slider,19.4,151,210,361,58.2,41.8
Dominic Leone,2,Sinker,8.3,151,210,361,58.2,41.8
Dominic Leone,2,Cutter,15.0,151,210,361,58.2,41.8
Dominic Leone,2,Sweeper,4.7,151,210,361,58.2,41.8
Drew Thorpe,2,Changeup,35.5,287,434,721,60.2,39.8
Drew Thorpe,1,4-Seam Fastball,32.2,287,434,721,60.2,39.8
Drew Thorpe,1,Cutter,13.9,287,434,721,60.2,39.8
Drew Thorpe,1,Slider,15.3,287,434,721,60.2,39.8
Drew Thorpe,1,Sweeper,3.2,287,434,721,60.2,39.8
Fraser Ellard,2,4-Seam Fastball,55.6,173,260,433,60.0,40.0
Fraser Ellard,2,Slider,23.4,173,260,433,60.0,40.0
Fraser Ellard,2,Sinker,8.3,173,260,433,60.0,40.0
Fraser Ellard,2,Cutter,8.8,173,260,433,60.0,40.0
Fraser Ellard,2,Changeup,3.9,173,260,433,60.0,40.0
Garrett Crochet,1,4-Seam Fastball,53.7,773,1622,2395,67.7,32.3
Garrett Crochet,1,Cutter,28.4,773,1622,2395,67.7,32.3
Garrett Crochet,1,Sweeper,9.8,773,1622,2395,67.7,32.3
Garrett Crochet,1,Changeup,5.9,773,1622,2395,67.7,32.3
Garrett Crochet,1,Sinker,2.1,773,1622,2395,67.7,32.3
Gus Varland,2,Slider,38.2,106,225,331,68.0,32.0
Gus Varland,2,4-Seam Fastball,53.4,106,225,331,68.0,32.0
Gus Varland,2,Changeup,5.1,106,225,331,68.0,32.0
Gus Varland,2,Sinker,3.3,106,225,331,68.0,32.0
Jairo Iriarte,2,4-Seam Fastball,46.0,65,72,137,52.6,47.4
Jairo Iriarte,2,Slider,40.1,65,72,137,52.6,47.4
Jairo Iriarte,2,Changeup,13.9,65,72,137,52.6,47.4
Jake Eder,2,4-Seam Fastball,48.9,19,26,45,57.8,42.2
Jake Eder,2,Cutter,24.4,19,26,45,57.8,42.2
Jake Eder,2,Changeup,24.4,19,26,45,57.8,42.2
Jared Shuster,2,4-Seam Fastball,37.5,509,781,1290,60.5,39.5
Jared Shuster,2,Changeup,29.4,509,781,1290,60.5,39.5
Jared Shuster,2,Slider,28.4,509,781,1290,60.5,39.5
Jared Shuster,2,Sinker,4.7,509,781,1290,60.5,39.5
Jonathan Cannon,1,Sinker,28.0,753,1276,2029,62.9,37.1
Jonathan Cannon,1,Changeup,18.7,753,1276,2029,62.9,37.1
Jonathan Cannon,1,Sweeper,21.8,753,1276,2029,62.9,37.1
