name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Anthony Misiewicz,2,Cutter,53.3,13,17,30,56.7,43.3
Anthony Misiewicz,2,Curveball,40.0,13,17,30,56.7,43.3
Carlos Rodón,1,4-Seam Fastball,49.4,1121,1981,3102,63.9,36.1
Carlos Rodón,1,Slider,26.0,1121,1981,3102,63.9,36.1
Carlos Rodón,1,Changeup,12.9,1121,1981,3102,63.9,36.1
Carlos Rodón,1,Curveball,8.3,1121,1981,3102,63.9,36.1
Carlos Rodón,1,Cutter,3.5,1121,1981,3102,63.9,36.1
Clarke Schmidt,1,Cutter,35.0,548,908,1456,62.4,37.6
Clarke Schmidt,1,Sinker,21.0,548,908,1456,62.4,37.6
Clarke Schmidt,1,Sweeper,25.2,548,908,1456,62.4,37.6
Clarke Schmidt,1,Curveball,18.2,548,908,1456,62.4,37.6
Clarke Schmidt,1,Changeup,0.6,548,908,1456,62.4,37.6
Clay Holmes,2,Sinker,56.3,381,704,1085,64.9,35.1
Clay Holmes,2,Sweeper,20.5,381,704,1085,64.9,35.1
Clay Holmes,2,Slider,23.0,381,704,1085,64.9,35.1
Clayton Andrews,2,Changeup,60.0,5,10,15,66.7,33.3
Clayton Andrews,2,4-Seam Fastball,6.7,5,10,15,66.7,33.3
Clayton Andrews,2,Sinker,13.3,5,10,15,66.7,33.3
Clayton Beeter,2,4-Seam Fastball,66.7,17,34,51,66.7,33.3
Clayton Beeter,2,Slider,33.3,17,34,51,66.7,33.3
Cody Poteet,2,Sinker,24.7,152,233,385,60.5,39.5
Cody Poteet,2,4-Seam Fastball,28.4,152,233,385,60.5,39.5
Cody Poteet,2,Changeup,19.8,152,233,385,60.5,39.5
Cody Poteet,2,Sweeper,17.2,152,233,385,60.5,39.5
Cody Poteet,2,Curveball,9.9,152,233,385,60.5,39.5
Gerrit Cole,1,4-Seam Fastball,45.6,539,998,1537,64.9,35.1
Gerrit Cole,1,Curveball,18.7,539,998,1537,64.9,35.1
Gerrit Cole,1,Slider,15.1,539,998,1537,64.9,35.1
Gerrit Cole,1,Cutter,15.8,539,998,1537,64.9,35.1
Gerrit Cole,1,Changeup,4.0,539,998,1537,64.9,35.1
Gerrit Cole,1,Sinker,0.8,539,998,1537,64.9,35.1
Ian Hamilton,2,Slider,54.3,206,414,620,66.8,33.2
Ian Hamilton,2,Sinker,23.3,206,414,620,66.8,33.2
Ian Hamilton,2,4-Seam Fastball,22.5,206,414,620,66.8,33.2
Jake Cousins,2,Slider,65.7,239,406,645,62.9,37.1
Jake Cousins,2,Sinker,33.4,239,406,645,62.9,37.1
Jake Cousins,2,4-Seam Fastball,0.9,239,406,645,62.9,37.1
Jonathan Loáisiga,2,Sinker,67.2,17,44,61,72.1,27.9
